E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30a,E30b
1.3000E-08,2.2200E+01,3.6000E+01,2.1700E+01,3.8600E+01,3.4000E+01,7.0970E-01,7.4760E-01,7.5800E-01,2.3670E-01,-4.9050E-01,-3.9710E-01,-4.0310E-01,-7.3560E-01,-1.3300E-02,-1.0120E-01,-1.0330E-01,1.0912E+00,1.3000E-01,2.1400E+00,1.7000E-01,2.5000E-01,7.0767E+00,1.9843E-01,6.1998E-01,3.9000E-01,6.5800E+00,6.0780E-01,8.1275E-01,3.3778E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6000E+01,2.1700E+01,3.8600E+01,3.4000E+01,7.0970E-01,7.4800E-01,7.5840E-01,2.3620E-01,-4.9070E-01,-3.9720E-01,-4.0270E-01,-7.4160E-01,-1.6200E-02,-1.0220E-01,-1.0360E-01,1.1059E+00,1.3000E-01,2.1400E+00,1.2000E-01,2.5000E-01,7.0700E+00,2.0032E-01,6.2123E-01,3.9000E-01,6.6800E+00,6.0780E-01,8.0336E-01,3.4082E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6100E+01,2.1700E+01,3.8600E+01,3.4000E+01,7.0940E-01,7.4770E-01,7.5810E-01,2.3680E-01,-4.9050E-01,-3.9710E-01,-4.0290E-01,-7.3530E-01,-1.5500E-02,-1.0220E-01,-1.0350E-01,1.0839E+00,1.3000E-01,2.1200E+00,9.0000E-02,2.5000E-01,7.0577E+00,2.0310E-01,6.2265E-01,3.6000E-01,6.6700E+00,6.7474E-01,8.0489E-01,3.3750E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6100E+01,2.1700E+01,3.8700E+01,3.4250E+01,7.0980E-01,7.4820E-01,7.5810E-01,2.3640E-01,-4.9050E-01,-3.9720E-01,-4.0270E-01,-7.3860E-01,-1.3700E-02,-1.0240E-01,-1.0380E-01,1.1036E+00,1.3000E-01,2.1400E+00,2.2000E-01,2.2000E-01,7.0692E+00,2.0244E-01,6.2469E-01,3.9000E-01,6.6500E+00,6.0780E-01,8.1096E-01,3.4651E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6200E+01,2.1700E+01,3.8700E+01,3.4000E+01,7.0980E-01,7.4770E-01,7.5830E-01,2.3610E-01,-4.9060E-01,-3.9690E-01,-4.0250E-01,-7.3920E-01,-1.5000E-02,-1.0130E-01,-1.0270E-01,1.1057E+00,1.4000E-01,2.1200E+00,9.0000E-02,2.5000E-01,7.0758E+00,2.0142E-01,6.2600E-01,3.9000E-01,6.6700E+00,6.5789E-01,8.4081E-01,3.3750E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6200E+01,2.1700E+01,3.8700E+01,3.4000E+01,7.1010E-01,7.4800E-01,7.5850E-01,2.3640E-01,-4.9040E-01,-3.9730E-01,-4.0290E-01,-7.4000E-01,-1.6000E-02,-1.0300E-01,-1.0460E-01,1.1041E+00,1.3000E-01,2.1400E+00,1.2000E-01,2.5000E-01,7.0776E+00,2.0383E-01,6.2758E-01,3.8000E-01,6.7200E+00,6.2880E-01,7.9135E-01,3.5294E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6200E+01,2.1700E+01,3.8700E+01,3.4250E+01,7.0970E-01,7.4780E-01,7.5830E-01,2.3750E-01,-4.9070E-01,-3.9710E-01,-4.0250E-01,-7.3510E-01,-1.6000E-02,-1.0290E-01,-1.0450E-01,1.0575E+00,1.3000E-01,2.1400E+00,1.7000E-01,2.4500E-01,7.0882E+00,2.0088E-01,6.2867E-01,3.8000E-01,6.6200E+00,6.2880E-01,8.1258E-01,3.5435E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6200E+01,2.1700E+01,3.8800E+01,3.4250E+01,7.0990E-01,7.4780E-01,7.5820E-01,2.3700E-01,-4.9050E-01,-3.9720E-01,-4.0270E-01,-7.3530E-01,-1.6200E-02,-1.0300E-01,-1.0450E-01,1.0704E+00,1.3000E-01,2.1400E+00,6.0000E-02,2.4000E-01,7.0913E+00,1.9992E-01,6.2928E-01,3.8000E-01,6.6400E+00,6.2880E-01,8.4256E-01,3.4186E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6300E+01,2.1700E+01,3.8800E+01,3.4250E+01,7.0970E-01,7.4800E-01,7.5800E-01,2.3760E-01,-4.9070E-01,-3.9730E-01,-4.0270E-01,-7.3530E-01,-1.6200E-02,-1.0310E-01,-1.0450E-01,1.0471E+00,1.3000E-01,2.1200E+00,9.0000E-02,2.5000E-01,7.0924E+00,2.0369E-01,6.3011E-01,4.0000E-01,6.7900E+00,5.8800E-01,7.8098E-01,3.3462E-02,3.6061E-01
1.3000E-08,2.2200E+01,3.6300E+01,2.1700E+01,3.8800E+01,3.4000E+01,7.1010E-01,7.4800E-01,7.5820E-01,2.3580E-01,-4.9070E-01,-3.9720E-01,-4.0290E-01,-7.3770E-01,-1.5600E-02,-1.0310E-01,-1.0430E-01,1.1021E+00,1.3000E-01,2.1200E+00,4.0000E-02,2.3000E-01,7.0985E+00,2.0442E-01,6.3074E-01,3.9000E-01,6.8000E+00,6.0780E-01,7.7952E-01,3.2439E-02,3.6061E-01
